"the_geom","segmentid","bikeid","prevbikeid","status","boro","street","fromstreet","tostreet","onoffst","facilitycl","allclasses","bikedir","lanecount","ft_facilit","tf_facilit","ft2facilit","tf2facilit","instdate","ret_date","grnwy","gwsystem","gwsys2","spur","gwyjuris"
"MULTILINESTRING ((-73.9679269629075 40.78722157032913, -73.96744908391189 40.787860720908974))","37405.0","4023.0","180","Current","1","CENTRAL PARK W","W 77 ST","W 109 ST","ON","I","I","R","1","Protected",,,,"2020-10-02T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.96744908391189 40.787860720908974, -73.96700977089579 40.7884767907499))","37407.0","4023.0","180","Current","1","CENTRAL PARK W","W 77 ST","W 109 ST","ON","I","I","R","1","Protected",,,,"2020-10-02T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.96700977089579 40.7884767907499, -73.96655226773296 40.7891071526339))","37410.0","4023.0","180","Current","1","CENTRAL PARK W","W 77 ST","W 109 ST","ON","I","I","R","1","Protected",,,,"2020-10-02T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.96746062422328 40.78596869036755, -73.96749006469432 40.78616126095043, -73.96749759958239 40.786358067605164, -73.96748224166454 40.78655694885448, -73.96744347532078 40.786755570444605, -73.9673813571861 40.78695156405024, -73.96729648179165 40.78714256328585, -73.96718999928713 40.78732633428607, -73.96706353249657 40.78750082431316, -73.96691913420902 40.78766429592457, -73.96675918530106 40.78781530893885))","37411.0","2218.0","NA","Retired","1","WEST DR","CENTRAL PARK N","TERRACE DR","ON","II","II","L","1",,"Conventional",,,"1979-05-01T00:00:00.000","2012-09-15T00:00:00.000",,,,,
"MULTILINESTRING ((-73.96746062422328 40.78596869036755, -73.96749006469432 40.78616126095043, -73.96749759958239 40.786358067605164, -73.96748224166454 40.78655694885448, -73.96744347532078 40.786755570444605, -73.9673813571861 40.78695156405024, -73.96729648179165 40.78714256328585, -73.96718999928713 40.78732633428607, -73.96706353249657 40.78750082431316, -73.96691913420902 40.78766429592457, -73.96675918530106 40.78781530893885))","37411.0","6451.0","2218","Current","1","WEST DR","CENTRAL PARK N","TERRACE DR","ON","I","I","L","1",,"Protected",,,"2012-09-15T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.96655226773296 40.7891071526339, -73.96609500630801 40.78973438887684))","37414.0","4023.0","180","Current","1","CENTRAL PARK W","W 77 ST","W 109 ST","ON","I","I","R","1","Protected",,,,"2020-10-02T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.96801603211429 40.79218452448797, -73.96752994826339 40.7928585679269))","37419.0","214.0","NA","Current","1","COLUMBUS AV","W 96 ST","W 77 ST","ON","I","I","L","1",,"Protected",,,"2010-08-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.96609500630801 40.78973438887684, -73.96562799588814 40.79036611743996))","37421.0","4023.0","180","Current","1","CENTRAL PARK W","W 77 ST","W 109 ST","ON","I","I","R","1","Protected",,,,"2020-10-02T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.96562799588814 40.79036611743996, -73.96517705517505 40.790990340534314))","37423.0","4023.0","180","Current","1","CENTRAL PARK W","W 77 ST","W 109 ST","ON","I","I","R","1","Protected",,,,"2020-10-02T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.96517705517505 40.790990340534314, -73.9646854075886 40.791664027336594))","37425.0","4023.0","180","Current","1","CENTRAL PARK W","W 77 ST","W 109 ST","ON","I","I","R","1","Protected",,,,"2020-10-02T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.96752994826339 40.7928585679269, -73.96701559261092 40.79355696599284))","37427.0","8181.0","NA","Current","1","COLUMBUS AV","CATHEDRAL PKWY","W 96 ST","ON","I","I","L","1",,"Protected",,,"2013-09-25T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.96803818622044 40.79724949180163, -73.9675791682052 40.79786706129215))","37431.0","2287.0","NA","Current","1","AMSTERDAM AV","72 ST","107 ST","ON","I","I","R","1","Protected",,,,"2016-12-23T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.96422820126546 40.77631030891719, -73.96262273736401 40.77563801539203))","37465.0","2240.0","NA","Current","1","E 78 ST","5 AVE","YORK AVE","ON","II","II","R","1","Conventional",,,,"2016-07-15T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.9646854075886 40.791664027336594, -73.96417598541579 40.7923620451734))","37494.0","4023.0","180","Current","1","CENTRAL PARK W","W 77 ST","W 109 ST","ON","I","I","R","1","Protected",,,,"2020-10-02T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.96419761660805 40.79001481632618, -73.96419272442088 40.79014493714948, -73.96416396917114 40.790276438224154, -73.96411080774189 40.790405525554114, -73.96403407147993 40.79052830289928, -73.96393602523875 40.790641186929356, -73.96382008287405 40.79074121331385, -73.9636904753468 40.79082631488265))","37500","6451.0","2218","Current","1","WEST DR","CENTRAL PARK N","TERRACE DR","ON","I","I","L","1",,"Protected",,,"2012-09-15T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.96419761660805 40.79001481632618, -73.96419272442088 40.79014493714948, -73.96416396917114 40.790276438224154, -73.96411080774189 40.790405525554114, -73.96403407147993 40.79052830289928, -73.96393602523875 40.790641186929356, -73.96382008287405 40.79074121331385, -73.9636904753468 40.79082631488265))","37500","2218.0","NA","Retired","1","WEST DR","CENTRAL PARK N","TERRACE DR","ON","II","II","L","1",,"Conventional",,,"1979-05-01T00:00:00.000","2012-09-15T00:00:00.000",,,,,
"MULTILINESTRING ((-73.96282149813464 40.794237235663225, -73.96235980222399 40.79485206069434))","37508.0","4023.0","180","Current","1","CENTRAL PARK W","W 77 ST","W 109 ST","ON","I","I","R","1","Protected",,,,"2020-10-02T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.96384504842895 40.79791699084733, -73.96335368054956 40.79856141051484))","37515.0","211.0","NA","Current","1","COLUMBUS AV","CATHEDRAL PKWY","W 96 ST","ON","I","I","L","1",,"Protected",,,"2013-09-25T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.96144060761053 40.7961108268055, -73.96097971845283 40.79673864421872))","37524.0","4023.0","180","Current","1","CENTRAL PARK W","W 77 ST","W 109 ST","ON","I","I","R","1","Protected",,,,"2020-10-02T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95964440772235 40.77106426572984, -73.95918180056883 40.77169682336723))","37530.0","7180.0","NA","Current","1","3 AVENUE","E 72 ST","E 79 ST","ON","I","I","R","1","Protected",,,,"2023-12-08T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95918180056883 40.77169682336723, -73.95871707479034 40.772331674614236))","37531.0","7180.0","NA","Current","1","3 AVENUE","E 72 ST","E 79 ST","ON","I","I","R","1","Protected",,,,"2023-12-08T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95825534955969 40.77296533635258, -73.95779380449524 40.773599896752465))","37535.0","7180.0","NA","Current","1","3 AVENUE","E 72 ST","E 79 ST","ON","I","I","R","1","Protected",,,,"2023-12-08T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95825534955969 40.77296533635258, -73.95601507608194 40.772019956234246))","37536.0","2242.0","NA","Current","1","E 77 ST","YORK AVE","5 AVE","ON","II","II","L","1",,"Conventional",,,"2016-07-15T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95985681781553 40.77364276848085, -73.95825534955969 40.77296533635258))","37541.0","2242.0","NA","Current","1","E 77 ST","YORK AVE","5 AVE","ON","II","II","L","1",,"Conventional",,,"2016-07-15T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95939395625113 40.77427796511504, -73.95779380449524 40.773599896752465))","37544.0","2240.0","NA","Current","1","E 78 ST","5 AVE","YORK AVE","ON","II","II","R","1","Conventional",,,,"2016-07-15T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95779380449524 40.773599896752465, -73.9555532440746 40.772654075404))","37549.0","2240.0","NA","Current","1","E 78 ST","5 AVE","YORK AVE","ON","II","II","R","1","Conventional",,,,"2016-07-15T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95779380449524 40.773599896752465, -73.95729410078127 40.77428355453586))","37550.0","7180.0","NA","Current","1","3 AVENUE","E 72 ST","E 79 ST","ON","I","I","R","1","Protected",,,,"2023-12-08T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95856810052638 40.7840834437771, -73.95810353455965 40.784713004600796))","37590.0","44.0","NA","Current","1","5 AV","E 90 ST","E 91 ST","ON","III","III","L","1",,"Signed Route",,,"2007-08-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95856810052638 40.7840834437771, -73.9569452720619 40.783417299023974))","37591.0","306.0","NA","Current","1","E 90 ST","EAST END AV","5 AV","ON","II","II","R","1","Conventional",,,,"2007-08-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95888401858285 40.784226334134594, -73.9571445401895 40.78665417147929))","37597.0","2217.0","NA","Current","1","EAST DR","TERRACE DR","CENTRAL PARK N","ON","I","I","R","1","Protected",,,,"1979-05-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95810353455965 40.784713004600796, -73.9564870114101 40.78404455137171))","37599.0","308.0","NA","Current","1","E 91 ST","3 AV","5 AV","ON","II","II","L","1",,"Conventional",,,"2007-08-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.96052271788763 40.79736846917589, -73.96003018458904 40.798038107239584))","37615.0","4023.0","180","Current","1","CENTRAL PARK W","W 77 ST","W 109 ST","ON","I","I","R","1","Protected",,,,"2020-10-02T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95694112903657 40.770753261928874, -73.95647901863371 40.771387195713444))","37621.0","2534.0","NA","Current","1","2 AVE","E 84 ST","E 74 ST","ON","I","I","L","1",,"Protected",,,"2017-12-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95601507608194 40.772019956234246, -73.9555532440746 40.772654075404))","37624.0","2534.0","NA","Current","1","2 AVE","E 84 ST","E 74 ST","ON","I","I","L","1",,"Protected",,,"2017-12-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95601507608194 40.772019956234246, -73.95364860023142 40.77102410754475))","37625.0","2242.0","NA","Current","1","E 77 ST","YORK AVE","5 AVE","ON","II","II","L","1",,"Conventional",,,"2016-07-15T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.9555532440746 40.772654075404, -73.95505481617221 40.77333685058383))","37626.0","2534.0","NA","Current","1","2 AVE","E 84 ST","E 74 ST","ON","I","I","L","1",,"Protected",,,"2017-12-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.9555532440746 40.772654075404, -73.95318747606615 40.77165689387803))","37627.0","2240.0","NA","Current","1","E 78 ST","5 AVE","YORK AVE","ON","II","II","R","1","Conventional",,,,"2016-07-15T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95729410078127 40.77428355453586, -73.95679749090881 40.774966310742734))","37628.0","7179.0","NA","Current","1","3 AVENUE","E 79 ST","E 86 ST","ON","I","I","R","1","Protected",,,,"2023-12-08T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95633492310631 40.775600783689015, -73.95586933703377 40.77623622610776))","37633.0","7179.0","NA","Current","1","3 AVENUE","E 79 ST","E 86 ST","ON","I","I","R","1","Protected",,,,"2023-12-08T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95505481617221 40.77333685058383, -73.9545574087047 40.774021194420875))","37634.0","2534.0","NA","Current","1","2 AVE","E 84 ST","E 74 ST","ON","I","I","L","1",,"Protected",,,"2017-12-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.9545574087047 40.774021194420875, -73.95409265681265 40.774656257335664))","37636.0","2534.0","NA","Current","1","2 AVE","E 84 ST","E 74 ST","ON","I","I","L","1",,"Protected",,,"2017-12-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95409265681265 40.774656257335664, -73.95362762524225 40.77529067344609))","37638.0","2534.0","NA","Current","1","2 AVE","E 84 ST","E 74 ST","ON","I","I","L","1",,"Protected",,,"2017-12-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95586933703377 40.77623622610776, -73.9554072979578 40.77686848018138))","37646.0","7179.0","NA","Current","1","3 AVENUE","E 79 ST","E 86 ST","ON","I","I","R","1","Protected",,,,"2023-12-08T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.9554072979578 40.77686848018138, -73.95494520054962 40.777503946215475))","37648.0","7179.0","NA","Current","1","3 AVENUE","E 79 ST","E 86 ST","ON","I","I","R","1","Protected",,,,"2023-12-08T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95494520054962 40.777503946215475, -73.95448224191573 40.778138664382546))","37650.0","7179.0","NA","Current","1","3 AVENUE","E 79 ST","E 86 ST","ON","I","I","R","1","Protected",,,,"2023-12-08T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95448224191573 40.778138664382546, -73.9539837022807 40.7788221097156))","37652.0","7179.0","NA","Current","1","3 AVENUE","E 79 ST","E 86 ST","ON","I","I","R","1","Protected",,,,"2023-12-08T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95770725357676 40.79360911709139, -73.9574668984234 40.79364951513485, -73.95722996779638 40.79370756375105, -73.95699979123603 40.793782958933264, -73.95677961568681 40.79387490679743, -73.9565724633085 40.79398215054016, -73.95638096556135 40.794103033406124, -73.95620723282327 40.794235575174184))","37718.0","134.0","NA","Retired","1","C P 102 CENTER DR","WEST DR","EAST DR","OFF","III","III","2","2","Signed Route","Signed Route",,,"1979-05-01T00:00:00.000","2018-06-27T00:00:00.000",,,,,
"MULTILINESTRING ((-73.95770725357676 40.79360911709139, -73.9574668984234 40.79364951513485, -73.95722996779638 40.79370756375105, -73.95699979123603 40.793782958933264, -73.95677961568681 40.79387490679743, -73.9565724633085 40.79398215054016, -73.95638096556135 40.794103033406124, -73.95620723282327 40.794235575174184))","37718.0","6574.0","134","Current","1","C P 102 CENTER DR","WEST DR","EAST DR","OFF","I","I","2","2","Protected","Protected",,,"2018-06-27T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95620723282327 40.794235575174184, -73.95617046691007 40.79426782611781, -73.95613100894633 40.79429818497477, -73.95608902727335 40.79432652033353, -73.95604470088966 40.794352712492994, -73.95599821826997 40.794376648059554, -73.95594977854509 40.79439822715112, -73.95589958795253 40.79441735529171, -73.95584786101553 40.794433952416675, -73.95579481817659 40.794447947469045, -73.95574068698114 40.79445928020088, -73.95568569615175 40.79446790297208, -73.95563008269917 40.79447377805166, -73.95557408362545 40.794476881216546, -73.95551793711134 40.794477198150155, -73.9554618825127 40.79447472894472, -73.95540616036445 40.79446948269839, -73.95535100763682 40.79446148291655, -73.95483974958175 40.79428737555889))","37721.0","134.0","NA","Retired","1","C P 102 CENTER DR","WEST DR","EAST DR","OFF","III","III","2","2","Signed Route","Signed Route",,,"1979-05-01T00:00:00.000","2018-06-27T00:00:00.000",,,,,
