"the_geom","segmentid","bikeid","prevbikeid","status","boro","street","fromstreet","tostreet","onoffst","facilitycl","allclasses","bikedir","lanecount","ft_facilit","tf_facilit","ft2facilit","tf2facilit","instdate","ret_date","grnwy","gwsystem","gwsys2","spur","gwyjuris"
"MULTILINESTRING ((-74.0190412971239 40.69126996746561, -74.01936657062804 40.69107071968519))","18057.0","638.0","NA","Current","1","WHEELER AVENUE","HAY RD","MAIN ST","OFF","I","I","2","2","Protected","Protected",,,"2013-10-25T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.0188844381816 40.6927016109071, -74.01887633708725 40.692085561402635))","18058.0","393.0","NA","Current","1","HAY ROAD","CRAIG RD N","CLAYTON RD","OFF","I","I","2","2","Protected","Protected",,,"2013-10-25T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.01871668869431 40.708128498541896, -74.01868456647766 40.7084877806887))","18068.0","106.0","NA","Current","1","BATTERY PARK CITY GREENWAY","HUDSON RIVER GREENWAY","HUDSON RIVER GREENWAY","OFF","I","I","2","2","Protected","Protected",,,"1996-01-01T00:00:00.000",,"Greenway","Manhattan Waterfront",,"Main Alignment","BPCA"
"MULTILINESTRING ((-74.01833520619425 40.689792321977905, -74.01962797813843 40.6909103570433))","18072.0","206.0","NA","Current","1","CLAYTON ROAD","CRAIG RD N","KIMMEL RD","OFF","I","I","2","2","Protected","Protected",,,"2013-10-25T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.01811489366627 40.6899384471351, -74.01776066003934 40.68928546722253))","18074.0","393.0","NA","Current","1","HAY ROAD","CRAIG RD N","CLAYTON RD","OFF","I","I","2","2","Protected","Protected",,,"2013-10-25T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.01776066003934 40.68928546722253, -74.01833520619425 40.689792321977905))","18075.0","206.0","NA","Current","1","CLAYTON ROAD","CRAIG RD N","KIMMEL RD","OFF","I","I","2","2","Protected","Protected",,,"2013-10-25T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.017034210121 40.68863037342994, -74.01776066003934 40.68928546722253))","18077.0","206.0","NA","Current","1","CLAYTON ROAD","CRAIG RD N","KIMMEL RD","OFF","I","I","2","2","Protected","Protected",,,"2013-10-25T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.01665321350805 40.68832443473738, -74.01775242063385 40.68762057316823))","18078.0","435.0","NA","Current","1","OWASCO ROAD","DIV RD","COMFORT RD","OFF","I","I","2","2","Protected","Protected",,,"2013-10-25T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.01665321350805 40.68832443473738, -74.017034210121 40.68863037342994))","18079.0","206.0","NA","Current","1","CLAYTON ROAD","CRAIG RD N","KIMMEL RD","OFF","I","I","2","2","Protected","Protected",,,"2013-10-25T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.01650062360218 40.68830292544188, -74.01665321350805 40.68832443473738))","18080.0","435.0","NA","Current","1","OWASCO ROAD","DIV RD","COMFORT RD","OFF","I","I","2","2","Protected","Protected",,,"2013-10-25T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.01874665686546 40.69123254548873, -74.0186071295938 40.69090404293392, -74.01845519434991 40.690578585921706, -74.01829105252575 40.690256588607326, -74.01811489366627 40.6899384471351))","18085.0","393.0","NA","Current","1","HAY ROAD","CRAIG RD N","CLAYTON RD","OFF","I","I","2","2","Protected","Protected",,,"2013-10-25T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.01691429854318 40.69296295801365, -74.0170610966538 40.69324523813158))","18094.0","170.0","NA","Current","1","CARDER RD","BARRY RD","CRAIG RD N","OFF","I","I","2","2","Protected","Protected",,,"2007-06-01T00:00:00.000",,"Greenway","Manhattan Waterfront",,"Governor's Island","GIPEC"
"MULTILINESTRING ((-74.01542782102348 40.69279170832488, -74.01691429854318 40.69296295801365))","18098.0","170.0","NA","Current","1","CARDER RD","BARRY RD","CRAIG RD N","OFF","I","I","2","2","Protected","Protected",,,"2007-06-01T00:00:00.000",,"Greenway","Manhattan Waterfront",,"Governor's Island","GIPEC"
"MULTILINESTRING ((-74.01850166689033 40.706873734838055, -74.01812094189772 40.70784040417607))","18120.0","106.0","NA","Current","1","BATTERY PARK CITY GREENWAY","HUDSON RIVER GREENWAY","HUDSON RIVER GREENWAY","OFF","I","I","2","2","Protected","Protected",,,"1996-01-01T00:00:00.000",,"Greenway","Manhattan Waterfront",,"Main Alignment","BPCA"
"MULTILINESTRING ((-74.01812094189772 40.70784040417607, -74.01871668869431 40.708128498541896))","18144.0","106.0","NA","Current","1","BATTERY PARK CITY GREENWAY","HUDSON RIVER GREENWAY","HUDSON RIVER GREENWAY","OFF","I","I","2","2","Protected","Protected",,,"1996-01-01T00:00:00.000",,"Greenway","Manhattan Waterfront",,"Main Alignment","BPCA"
"MULTILINESTRING ((-74.01771378319857 40.70796871745356, -74.01739796592196 40.70845740998242))","18147.0","473.0","NA","Current","1","SOUTH END AV","W THAMES ST","DEAD END","ON","III","III","2","2","Wide Parking Lane","Wide Parking Lane",,,"2014-07-24T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.01739796592196 40.70845740998242, -74.01695833805474 40.70905766172053))","18149.0","472.0","NA","Current","1","SOUTH END AV","W THAMES ST","ALBANY ST","ON","III","III","2","2","Wide Parking Lane","Wide Parking Lane",,,"2014-07-24T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.01695833805474 40.70905766172053, -74.01676485998686 40.709333025810345))","18152.0","472.0","NA","Current","1","SOUTH END AV","W THAMES ST","ALBANY ST","ON","III","III","2","2","Wide Parking Lane","Wide Parking Lane",,,"2014-07-24T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.01676485998686 40.709333025810345, -74.01638142250701 40.71007837180701))","18154.0","472.0","NA","Current","1","SOUTH END AV","W THAMES ST","ALBANY ST","ON","III","III","2","2","Wide Parking Lane","Wide Parking Lane",,,"2014-07-24T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00123643150638 40.57205573166129, -74.00236551203776 40.572317487461675))","18262.0","1007.0","NA","Current","3","BOARDWALK W","BRIGHTON 15 ST","W 37 ST","OFF","I","I","2","2","Boardwalk","Boardwalk",,,"1923-05-01T00:00:00.000",,"Greenway","Brooklyn Waterfront",,"Coney Island","DPR"
"MULTILINESTRING ((-74.00215998852812 40.57700625200265, -74.00322252718739 40.57688711477139))","18290.0","1315.0","NA","Current","3","NEPTUNE AV","W 37 ST","W 25 ST","ON","II","II","L","1",,"Conventional",,,"2005-08-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00110488656607 40.57712147105892, -74.00215998852812 40.57700625200265))","18291.0","1315.0","NA","Current","3","NEPTUNE AV","W 37 ST","W 25 ST","ON","II","II","L","1",,"Conventional",,,"2005-08-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00008868909225 40.57180972395472, -74.00123643150638 40.57205573166129))","18293.0","1007.0","NA","Current","3","BOARDWALK W","BRIGHTON 15 ST","W 37 ST","OFF","I","I","2","2","Boardwalk","Boardwalk",,,"1923-05-01T00:00:00.000",,"Greenway","Brooklyn Waterfront",,"Coney Island","DPR"
"MULTILINESTRING ((-73.9989940956076 40.571690003837276, -74.00008868909225 40.57180972395472))","18299.0","1007.0","NA","Current","3","BOARDWALK W","BRIGHTON 15 ST","W 37 ST","OFF","I","I","2","2","Boardwalk","Boardwalk",,,"1923-05-01T00:00:00.000",,"Greenway","Brooklyn Waterfront",,"Coney Island","DPR"
"MULTILINESTRING ((-73.99780217355091 40.57154809154498, -73.9989940956076 40.571690003837276))","18303.0","1007.0","NA","Current","3","BOARDWALK W","BRIGHTON 15 ST","W 37 ST","OFF","I","I","2","2","Boardwalk","Boardwalk",,,"1923-05-01T00:00:00.000",,"Greenway","Brooklyn Waterfront",,"Coney Island","DPR"
"MULTILINESTRING ((-73.99472595323923 40.57151979607284, -73.99494440909096 40.57149530261831, -73.99516358250018 40.571474866542744, -73.99538334242109 40.57145850044406, -73.9956035578085 40.571446213319234, -73.9958241011605 40.57143801236513, -73.99604484025211 40.57143390207795, -73.99626564522019 40.57143388605451, -73.99648638620211 40.57143796338987, -73.99670693097332 40.57144613227959, -73.99692715085196 40.57145838731813, -73.99714691361335 40.571474722200534, -73.99736609175629 40.571495126120055, -73.99758455423621 40.57151958737043, -73.99780217355091 40.57154809154498))","18338.0","1007.0","NA","Current","3","BOARDWALK W","BRIGHTON 15 ST","W 37 ST","OFF","I","I","2","2","Boardwalk","Boardwalk",,,"1923-05-01T00:00:00.000",,"Greenway","Brooklyn Waterfront",,"Coney Island","DPR"
"MULTILINESTRING ((-73.99357745521878 40.57161690421443, -73.99472595323923 40.57151979607284))","18341.0","1007.0","NA","Current","3","BOARDWALK W","BRIGHTON 15 ST","W 37 ST","OFF","I","I","2","2","Boardwalk","Boardwalk",,,"1923-05-01T00:00:00.000",,"Greenway","Brooklyn Waterfront",,"Coney Island","DPR"
"MULTILINESTRING ((-73.99247450826864 40.571561382945376, -73.99357745521878 40.57161690421443))","18359.0","1007.0","NA","Current","3","BOARDWALK W","BRIGHTON 15 ST","W 37 ST","OFF","I","I","2","2","Boardwalk","Boardwalk",,,"1923-05-01T00:00:00.000",,"Greenway","Brooklyn Waterfront",,"Coney Island","DPR"
"MULTILINESTRING ((-73.99138759270886 40.57165652807744, -73.99247450826864 40.571561382945376))","18360.0","1007.0","NA","Current","3","BOARDWALK W","BRIGHTON 15 ST","W 37 ST","OFF","I","I","2","2","Boardwalk","Boardwalk",,,"1923-05-01T00:00:00.000",,"Greenway","Brooklyn Waterfront",,"Coney Island","DPR"
"MULTILINESTRING ((-73.99044042293578 40.571739427503665, -73.99138759270886 40.57165652807744))","18365.0","1007.0","NA","Current","3","BOARDWALK W","BRIGHTON 15 ST","W 37 ST","OFF","I","I","2","2","Boardwalk","Boardwalk",,,"1923-05-01T00:00:00.000",,"Greenway","Brooklyn Waterfront",,"Coney Island","DPR"
"MULTILINESTRING ((-73.99156389168417 40.5782341514797, -73.99262545372113 40.57810914082313))","18384.0","1313.0","NA","Current","3","NEPTUNE AV","W 25 ST","W 20 ST","ON","II","II","2","2","Conventional","Conventional",,,"2005-08-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.990503672298 40.57835764766135, -73.99156389168417 40.5782341514797))","18388.0","1313.0","NA","Current","3","NEPTUNE AV","W 25 ST","W 20 ST","ON","II","II","2","2","Conventional","Conventional",,,"2005-08-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.98931675251576 40.57200671227849, -73.99044042293578 40.571739427503665))","18392.0","1007.0","NA","Current","3","BOARDWALK W","BRIGHTON 15 ST","W 37 ST","OFF","I","I","2","2","Boardwalk","Boardwalk",,,"1923-05-01T00:00:00.000",,"Greenway","Brooklyn Waterfront",,"Coney Island","DPR"
"MULTILINESTRING ((-73.98836577603376 40.57223907232599, -73.98931675251576 40.57200671227849))","18398.0","1007.0","NA","Current","3","BOARDWALK W","BRIGHTON 15 ST","W 37 ST","OFF","I","I","2","2","Boardwalk","Boardwalk",,,"1923-05-01T00:00:00.000",,"Greenway","Brooklyn Waterfront",,"Coney Island","DPR"
"MULTILINESTRING ((-73.98724281703697 40.57249670126275, -73.98836577603376 40.57223907232599))","18399.0","1007.0","NA","Current","3","BOARDWALK W","BRIGHTON 15 ST","W 37 ST","OFF","I","I","2","2","Boardwalk","Boardwalk",,,"1923-05-01T00:00:00.000",,"Greenway","Brooklyn Waterfront",,"Coney Island","DPR"
"MULTILINESTRING ((-73.98528886672975 40.57253160612565, -73.98724281703697 40.57249670126275))","18416.0","1007.0","NA","Current","3","BOARDWALK W","BRIGHTON 15 ST","W 37 ST","OFF","I","I","2","2","Boardwalk","Boardwalk",,,"1923-05-01T00:00:00.000",,"Greenway","Brooklyn Waterfront",,"Coney Island","DPR"
"MULTILINESTRING ((-73.98406083714639 40.57267051931859, -73.98528886672975 40.57253160612565))","18417.0","1007.0","NA","Current","3","BOARDWALK W","BRIGHTON 15 ST","W 37 ST","OFF","I","I","2","2","Boardwalk","Boardwalk",,,"1923-05-01T00:00:00.000",,"Greenway","Brooklyn Waterfront",,"Coney Island","DPR"
"MULTILINESTRING ((-73.98394724911076 40.572683741213574, -73.98406083714639 40.57267051931859))","18422.0","1007.0","NA","Current","3","BOARDWALK W","BRIGHTON 15 ST","W 37 ST","OFF","I","I","2","2","Boardwalk","Boardwalk",,,"1923-05-01T00:00:00.000",,"Greenway","Brooklyn Waterfront",,"Coney Island","DPR"
"MULTILINESTRING ((-73.98284201356883 40.572815589351634, -73.98394724911076 40.572683741213574))","18427.0","1007.0","NA","Current","3","BOARDWALK W","BRIGHTON 15 ST","W 37 ST","OFF","I","I","2","2","Boardwalk","Boardwalk",,,"1923-05-01T00:00:00.000",,"Greenway","Brooklyn Waterfront",,"Coney Island","DPR"
"MULTILINESTRING ((-73.98342313376065 40.57541478644116, -73.9845190303208 40.575303751602696))","18433.0","1473.0","NA","Retired","3","SURF AV","W 16 ST","W 17 ST","ON","III","III","L","1",,"Signed Route",,,"1998-07-01T00:00:00.000","2009-08-01T00:00:00.000",,,,,
"MULTILINESTRING ((-73.98342313376065 40.57541478644116, -73.9845190303208 40.575303751602696))","18433.0","6349.0","1473","Current","3","SURF AV","W 16 ST","W 17 ST","ON","III","III","L","1",,"Signed Route",,,"1998-07-01T00:00:00.000",,"Greenway","Brooklyn Waterfront",,"Main Alignment","NYCDOT"
"MULTILINESTRING ((-73.98477359031926 40.57662632266588, -73.9845190303208 40.575303751602696))","18439.0","1518.0","NA","Retired","3","W 17 ST","NEPTUNE AV","SURF AV","ON","III","III","R","1","Signed Route",,,,"1998-07-01T00:00:00.000","2009-08-01T00:00:00.000",,,,,
"MULTILINESTRING ((-73.98477359031926 40.57662632266588, -73.9845190303208 40.575303751602696))","18439.0","6350.0","1518","Current","3","W 17 ST","NEPTUNE AV","SURF AV","ON","III","III","R","1","Signed Route",,,,"1998-07-01T00:00:00.000",,"Greenway","Brooklyn Waterfront",,"Main Alignment","NYCDOT"
"MULTILINESTRING ((-73.98237495026572 40.572870657761804, -73.98284201356883 40.572815589351634))","18445.0","1007.0","NA","Current","3","BOARDWALK W","BRIGHTON 15 ST","W 37 ST","OFF","I","I","2","2","Boardwalk","Boardwalk",,,"1923-05-01T00:00:00.000",,"Greenway","Brooklyn Waterfront",,"Coney Island","DPR"
"MULTILINESTRING ((-73.9823960661754 40.57551347520342, -73.98291711621118 40.57546909497734))","18449.0","1470.0","NA","Current","3","SURF AV","OCEAN PKWY","W 17 ST","ON","III","III","2","2","Signed Route","Signed Route",,,"1998-07-01T00:00:00.000",,"Greenway","Brooklyn Waterfront",,"Main Alignment","NYCDOT"
"MULTILINESTRING ((-73.98127687732665 40.572997106802056, -73.98182081790591 40.572931535120155))","18458.0","1007.0","NA","Current","3","BOARDWALK W","BRIGHTON 15 ST","W 37 ST","OFF","I","I","2","2","Boardwalk","Boardwalk",,,"1923-05-01T00:00:00.000",,"Greenway","Brooklyn Waterfront",,"Coney Island","DPR"
"MULTILINESTRING ((-73.98121812617153 40.57556893206233, -73.98173293002135 40.57554991495207))","18459.0","1470.0","NA","Current","3","SURF AV","OCEAN PKWY","W 17 ST","ON","III","III","2","2","Signed Route","Signed Route",,,"1998-07-01T00:00:00.000",,"Greenway","Brooklyn Waterfront",,"Main Alignment","NYCDOT"
"MULTILINESTRING ((-73.98079050472464 40.57305312017701, -73.98127687732665 40.572997106802056))","18461.0","1007.0","NA","Current","3","BOARDWALK W","BRIGHTON 15 ST","W 37 ST","OFF","I","I","2","2","Boardwalk","Boardwalk",,,"1923-05-01T00:00:00.000",,"Greenway","Brooklyn Waterfront",,"Coney Island","DPR"
"MULTILINESTRING ((-73.97970149647156 40.57317292781226, -73.98040112909904 40.57309678838228))","18469.0","1007.0","NA","Current","3","BOARDWALK W","BRIGHTON 15 ST","W 37 ST","OFF","I","I","2","2","Boardwalk","Boardwalk",,,"1923-05-01T00:00:00.000",,"Greenway","Brooklyn Waterfront",,"Coney Island","DPR"
"MULTILINESTRING ((-73.97963850334675 40.575536730356674, -73.98064359661053 40.5755527011006))","18472.0","1470.0","NA","Current","3","SURF AV","OCEAN PKWY","W 17 ST","ON","III","III","2","2","Signed Route","Signed Route",,,"1998-07-01T00:00:00.000",,"Greenway","Brooklyn Waterfront",,"Main Alignment","NYCDOT"
"MULTILINESTRING ((-73.98265122846287 40.57685931158406, -73.9823960661754 40.57551347520342))","18475.0","1517.0","NA","Current","3","W 15 ST","SURF AV","NEPTUNE AV","ON","III","III","L","1",,"Signed Route",,,"2009-08-01T00:00:00.000",,"Greenway","Brooklyn Waterfront",,"Main Alignment","NYCDOT"
"MULTILINESTRING ((-74.01001680028966 40.60246991013744, -74.01086777674625 40.60165694052714))","18526.0","2664.0","NA","Current","3","BAY 16 ST","CROPSEY AV","SHORE PKWY","ON","II","II","R","1","Conventional",,,,"2018-10-09T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00977988991916 40.60386064178184, -74.0107510005733 40.60291607048272))","18536.0","2666.0","NA","Current","3","17 AV","17 CT","BATH AV","ON","II","II","L","1","<Null>","Conventional",,,"2018-10-09T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00919222547869 40.60571451447512, -74.00836913382857 40.60521759649173))","18539.0","2659.0","NA","Current","3","BATH AV","14 AV","BAY 19 ST","ON","III","III","2","2","Shared","Shared",,,"2018-10-09T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00899480189194 40.60344980764557, -74.01001680028966 40.60246991013744))","18540.0","2664.0","NA","Current","3","BAY 16 ST","CROPSEY AV","SHORE PKWY","ON","II","II","R","1","Conventional",,,,"2018-10-09T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00836913382857 40.60521759649173, -74.00977988991916 40.60386064178184))","18542.0","2666.0","NA","Current","3","17 AV","17 CT","BATH AV","ON","II","II","L","1","<Null>","Conventional",,,"2018-10-09T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00836913382857 40.60521759649173, -74.0076256239803 40.60476829773935))","18543.0","2659.0","NA","Current","3","BATH AV","14 AV","BAY 19 ST","ON","III","III","2","2","Shared","Shared",,,"2018-10-09T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00463512753612 40.603078645868415, -74.00385345825696 40.60266791962714))","18579.0","2660.0","NA","Current","3","BATH AV","BAY 19 ST","BAY 35 ST","ON","II","II","2","2","Conventional","Conventional",,,"2018-10-09T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.0076256239803 40.60476829773935, -74.00899480189194 40.60344980764557))","18580.0","2663.0","NA","Current","3","BAY 16 ST","BATH AV","CROPSEY AV","ON","III","III","R","1","Shared",,,,"2018-10-09T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.0076256239803 40.60476829773935, -74.00691045901246 40.6043382897405))","18581.0","2659.0","NA","Current","3","BATH AV","14 AV","BAY 19 ST","ON","III","III","2","2","Shared","Shared",,,"2018-10-09T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00691045901246 40.6043382897405, -74.00617188246336 40.603886557043865))","18583.0","2659.0","NA","Current","3","BATH AV","14 AV","BAY 19 ST","ON","III","III","2","2","Shared","Shared",,,"2018-10-09T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00617188246336 40.603886557043865, -74.00558707902357 40.60357161230115))","18585.0","2659.0","NA","Current","3","BATH AV","14 AV","BAY 19 ST","ON","III","III","2","2","Shared","Shared",,,"2018-10-09T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00558707902357 40.60357161230115, -74.00463512753612 40.603078645868415))","18587.0","2660.0","NA","Current","3","BATH AV","BAY 19 ST","BAY 35 ST","ON","II","II","2","2","Conventional","Conventional",,,"2018-10-09T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00385345825696 40.60266791962714, -74.003067287825 40.602260195916955))","18637.0","2660.0","NA","Current","3","BATH AV","BAY 19 ST","BAY 35 ST","ON","II","II","2","2","Conventional","Conventional",,,"2018-10-09T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.003067287825 40.602260195916955, -74.00231503467333 40.60186564977829))","18641.0","2660.0","NA","Current","3","BATH AV","BAY 19 ST","BAY 35 ST","ON","II","II","2","2","Conventional","Conventional",,,"2018-10-09T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00231503467333 40.60186564977829, -74.00154542211934 40.60144199405964))","18643.0","2660.0","NA","Current","3","BATH AV","BAY 19 ST","BAY 35 ST","ON","II","II","2","2","Conventional","Conventional",,,"2018-10-09T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00154542211934 40.60144199405964, -74.00083835338677 40.600957367378584))","18645.0","2660.0","NA","Current","3","BATH AV","BAY 19 ST","BAY 35 ST","ON","II","II","2","2","Conventional","Conventional",,,"2018-10-09T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.99736802610559 40.593974310657764, -73.9965441592738 40.59332180601484))","18690.0","6059.0","1439","Current","3","SHORE PKWY","BAY 32 ST","BAY 50 ST","ON","I","I","2","2","Protected","Protected",,,"2019-12-20T00:00:00.000",,"Greenway","Brooklyn Waterfront",,"Main Alignment","NYCDOT"
"MULTILINESTRING ((-73.99736802610559 40.593974310657764, -73.9965441592738 40.59332180601484))","18690.0","1439.0","NA","Retired","3","SHORE PKWY","BAY PKWY","BAY 52 ST","ON","III","III","2","2","Signed Route","Signed Route",,,"1998-07-01T00:00:00.000","2019-12-20T00:00:00.000","Greenway",,,,"NYCDOT"
"MULTILINESTRING ((-73.99934502851988 40.59661390239516, -73.99951049453053 40.59644180795163))","18698.0","990.0","NA","Current","3","BAY PKWY","BATH AV","SHORE PKWY SR S","ON","III","III","R","1","Signed Route",,,,"1998-07-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.99865586635737 40.597268561879396, -73.99802683752313 40.596717667144304))","18704.0","1107.0","NA","Retired","3","CROPSEY AV","24 AV","BAY PKWY","ON","III","III","L","1",,"Signed Route",,,"1998-07-01T00:00:00.000","2018-07-19T00:00:00.000",,,,,
"MULTILINESTRING ((-73.99865586635737 40.597268561879396, -73.99802683752313 40.596717667144304))","18704.0","6024.0","1107","Current","3","CROPSEY AV","23 AV","BAY PKWY","ON","III","III","2","2","Wide Parking Lane","Wide Parking Lane",,,"2018-07-19T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.99738547066738 40.596183374293304, -73.99674706896617 40.595643125464115))","18708.0","1107.0","NA","Retired","3","CROPSEY AV","24 AV","BAY PKWY","ON","III","III","L","1",,"Signed Route",,,"1998-07-01T00:00:00.000","2018-07-19T00:00:00.000",,,,,
"MULTILINESTRING ((-73.99945533037429 40.60000576929556, -73.99874980428099 40.59952001305615))","18717.0","2660.0","NA","Current","3","BATH AV","BAY 19 ST","BAY 35 ST","ON","II","II","2","2","Conventional","Conventional",,,"2018-10-09T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.99874980428099 40.59952001305615, -73.99807105898908 40.59905547822683))","18719.0","2660.0","NA","Current","3","BATH AV","BAY 19 ST","BAY 35 ST","ON","II","II","2","2","Conventional","Conventional",,,"2018-10-09T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.99807105898908 40.59905547822683, -73.99733919626327 40.598551612336806))","18721.0","2660.0","NA","Current","3","BATH AV","BAY 19 ST","BAY 35 ST","ON","II","II","2","2","Conventional","Conventional",,,"2018-10-09T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.99733919626327 40.598551612336806, -73.99660830163369 40.598045607551384))","18723.0","2660.0","NA","Current","3","BATH AV","BAY 19 ST","BAY 35 ST","ON","II","II","2","2","Conventional","Conventional",,,"2018-10-09T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00083835338677 40.600957367378584, -74.00016287520506 40.60049194442307))","18725.0","2660.0","NA","Current","3","BATH AV","BAY 19 ST","BAY 35 ST","ON","II","II","2","2","Conventional","Conventional",,,"2018-10-09T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00016287520506 40.60049194442307, -73.99945533037429 40.60000576929556))","18728.0","2660.0","NA","Current","3","BATH AV","BAY 19 ST","BAY 35 ST","ON","II","II","2","2","Conventional","Conventional",,,"2018-10-09T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.99528942356315 40.59217179367935, -73.99472737474673 40.59158678323245))","18757.0","1439.0","NA","Retired","3","SHORE PKWY","BAY PKWY","BAY 52 ST","ON","III","III","2","2","Signed Route","Signed Route",,,"1998-07-01T00:00:00.000","2019-12-20T00:00:00.000","Greenway",,,,"NYCDOT"
"MULTILINESTRING ((-73.99528942356315 40.59217179367935, -73.99472737474673 40.59158678323245))","18757.0","6059.0","1439","Current","3","SHORE PKWY","BAY 32 ST","BAY 50 ST","ON","I","I","2","2","Protected","Protected",,,"2019-12-20T00:00:00.000",,"Greenway","Brooklyn Waterfront",,"Main Alignment","NYCDOT"
"MULTILINESTRING ((-73.99375761865755 40.59033184405158, -73.99330854974785 40.58958389828412))","18762.0","1439.0","NA","Retired","3","SHORE PKWY","BAY PKWY","BAY 52 ST","ON","III","III","2","2","Signed Route","Signed Route",,,"1998-07-01T00:00:00.000","2019-12-20T00:00:00.000","Greenway",,,,"NYCDOT"
"MULTILINESTRING ((-73.99375761865755 40.59033184405158, -73.99330854974785 40.58958389828412))","18762.0","6059.0","1439","Current","3","SHORE PKWY","BAY 32 ST","BAY 50 ST","ON","I","I","2","2","Protected","Protected",,,"2019-12-20T00:00:00.000",,"Greenway","Brooklyn Waterfront",,"Main Alignment","NYCDOT"
"MULTILINESTRING ((-73.99400388974443 40.59191986652124, -73.99346555139734 40.59127058709753))","18763.0","1440.0","NA","Current","3","SHORE PKWY","CROPSEY AV","24 AV","ON","III","III","L","1",,"Signed Route",,,"1998-07-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.99617939768397 40.59398002352196, -73.99524730963398 40.593172768188175))","18769.0","1440.0","NA","Current","3","SHORE PKWY","CROPSEY AV","24 AV","ON","III","III","L","1",,"Signed Route",,,"1998-07-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.99524730963398 40.593172768188175, -73.99458827600026 40.59254860463215))","18771.0","1440.0","NA","Current","3","SHORE PKWY","CROPSEY AV","24 AV","ON","III","III","L","1",,"Signed Route",,,"1998-07-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.99458827600026 40.59254860463215, -73.99400388974443 40.59191986652124))","18777.0","1440.0","NA","Current","3","SHORE PKWY","CROPSEY AV","24 AV","ON","III","III","L","1",,"Signed Route",,,"1998-07-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.99593213817182 40.59757916900066, -73.9952255871056 40.597093327936335))","18786.0","2660.0","NA","Current","3","BATH AV","BAY 19 ST","BAY 35 ST","ON","II","II","2","2","Conventional","Conventional",,,"2018-10-09T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.9952255871056 40.597093327936335, -73.9945230181158 40.596607734840774))","18788.0","2660.0","NA","Current","3","BATH AV","BAY 19 ST","BAY 35 ST","ON","II","II","2","2","Conventional","Conventional",,,"2018-10-09T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.9945230181158 40.596607734840774, -73.99384532442434 40.59614063549602))","18790.0","2660.0","NA","Current","3","BATH AV","BAY 19 ST","BAY 35 ST","ON","II","II","2","2","Conventional","Conventional",,,"2018-10-09T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.99384532442434 40.59614063549602, -73.99313419696728 40.59566103989125))","18792.0","2661.0","NA","Current","3","BATH AV","BAY 35 ST","27 AV","ON","III","III","2","2","Shared","Shared",,,"2018-10-09T00:00:00.000",,,,,,
