"the_geom","boro","unitid","point_x","point_y","cb","latitude","longitude"
"POINT (-73.80042434981813 40.69968512046769)","4","H402774","1039588.715","194253.659","412","40.69968414","-73.80042267"
"POINT (-73.92232531377861 40.773547734215676)","4","H439750","1005763.938","221110.638","401","40.77354813","-73.92232513"
"POINT (-73.84756691375122 40.903942565067595)","2","H209152","1026387.45125","268645.472","212","40.90394211","-73.8475647"
"POINT (-74.117048824626 40.60260540615181)","5","H510122","951747.201","158843.512","502","40.60260391","-74.11705017"
"POINT (-73.9478562368399 40.70529784755079)","3","H311817","998707.316","196239.806","301","40.70529938","-73.94785309"
"POINT (-73.7586437198741 40.59880520637443)","4","H415864","1051274.96675","157529.62325","414","40.59880447","-73.7586441"
"POINT (-73.85419614477729 40.75397114454556)","4","H432131","1024645.86575","214002.322","403","40.7539711","-73.85419464"
"POINT (-74.21119889094453 40.51872740447282)","5","H502035","925529.424","128333.788","503","40.51872635","-74.2111969"
"POINT (-74.15458003086779 40.61886819293164)","5","H504054","941335.78225","164784.6175","501","40.61886819","-74.15458003"
"POINT (-74.1488107959327 40.53764113246325)","5","H511124","942887.152","135188.846","503","40.53763962","-74.14881134"
"POINT (-73.8886800333128 40.66402220413177)","3","H329715","1015133.54175","181217.211","305","40.66402054","-73.8886795"
"POINT (-73.96541413082494 40.57666338763721)","3","H322715","993857.73975","149372.36075","313","40.57666397","-73.96541595"
"POINT (-73.97486915234043 40.68877899013665)","3","H305592","991219.475","190218.194","302","40.68877792","-73.97486877"
"POINT (-73.82743777928432 40.84135136419949)","2","H213871","1031996.714","245851.393","210","40.84135056","-73.82743835"
"POINT (-73.91465312269635 40.81564837253057)","2","H202105","1007873.997","236451.33","201","40.81564713","-73.91464996"
"POINT (-73.8959027777894 40.754553117333685)","4","H436923","1013090.538","214197.871","403","40.75455475","-73.89590454"
"POINT (-73.85678266615771 40.84341753639046)","2","H210818","1023875.974","246589.541","211","40.84341753","-73.85678266"
"POINT (-74.0211959860065 40.61879797087388)","3","H302929","978365.601","164721.881","310","40.6187973","-74.02119446"
"POINT (-73.98262809958287 40.67570865806072)","3","H305114","989068.65","185455.772","306","40.67570877","-73.98262787"
"POINT (-73.99836217654958 40.65992945687323)","3","H304899","984704.41","179706.489","307","40.65993118","-73.99835968"
"POINT (-73.86271874412259 40.884036443568185)","2","H208269","1022210.3635","261385.9405","212","40.88403702","-73.86271667"
"POINT (-73.89359030469465 40.68075831351934)","3","H326835","1013763.877","187312.955","305","40.68075943","-73.89359283"
"POINT (-74.0723934333471 40.616789422136435)","5","H515668","964151.637","163997.707","501","40.61679077","-74.07239532"
"POINT (-73.8838173845657 40.73692787518844)","4","H435361","1016447.358","207780.647","404","40.73692703","-73.88381958"
"POINT (-73.91161086401644 40.66201168254861)","3","H325774","1008772.574","180477.47","316","40.66201019","-73.91161346"
"POINT (-73.97482962122434 40.60160514780951)","3","H318093","991239.564","158458.381","311","40.60160446","-73.97483063"
"POINT (-73.98600093469446 40.618562641666244)","3","H313500","988136.414","164635.743","311","40.61856079","-73.98600006"
"POINT (-73.82766212931074 40.76857269684811)","4","H429263","1031986.805","219335.486","407","40.76857376","-73.82765961"
"POINT (-73.79198371257394 40.74789933946463)","4","H423279","1041887.433","211824.984","411","40.7478981","-73.79198456"
"POINT (-73.85570583186691 40.67537122776614)","4","H425017","1024274.769","185365.324","410","40.67537308","-73.85570526"
"POINT (-73.7406312752318 40.751627714987364)","4","H419286","1056112.176","213221.305","411","40.75162888","-73.7406311"
"POINT (-73.98192369405642 40.63622174539398)","3","H309994","989267.008","171069.632","312","40.63622284","-73.98192596"
"POINT (-73.74905624003436 40.726963692017584)","4","H400113","1053803.656","204228.658","413","40.72696304","-73.74905396"
"POINT (-73.85465917789838 40.71853943978998)","4","H430314","1024538.998","201093.24","406","40.71854019","-73.85466003"
"POINT (-73.95444906133729 40.69470799229954)","3","H311191","996881.404","192380.588","303","40.69470978","-73.95445251"
"POINT (-73.87889321918205 40.731637268629264)","4","H432853","1017814.642","205854.963","404","40.73163605","-73.87889099"
"POINT (-74.03064259340167 40.61644913858217)","3","H303070","975742.74825","163866.91575","310","40.61644745","-74.03063965"
"POINT (-73.89185654102502 40.822715992031554)","2","H206245","1014180.904","239033.286","202","40.82271576","-73.89185333"
"POINT (-74.18585429126402 40.53244952764866)","5","H505016","932586.6925","133317.09525","503","40.53244781","-74.18585205"
"POINT (-73.93689974436607 40.72639655273316)","3","H307884","1001739.562","203928.704","301","40.72639465","-73.93689728"
"POINT (-74.10492009042167 40.63201181230469)","5","H510698","955128.009","169552.763","501","40.63201141","-74.10491943"
"POINT (-73.95448250171935 40.64322658412725)","3","H315161","996881.877","173624.449","317","40.64322662","-73.95448303"
"POINT (-73.99083854377358 40.57463541377378)","3","H317709","986795.073","148631.756","313","40.57463455","-73.9908371"
"POINT (-73.87604346453547 40.74723949628323)","4","H434805","1018596.40475","211540.44775","404","40.74723816","-73.87604523"
"POINT (-73.86639009086042 40.737832799162724)","4","H432271","1021276.428","208117.225","404","40.73783112","-73.86638641"
"POINT (-73.79101267078678 40.7669657459574)","4","H422379","1042139.91725","218772.11825","411","40.76696396","-73.79101563"
"POINT (-73.75308521798935 40.75425397178474)","4","H419269","1052658.928","214168.16","411","40.75425339","-73.75308228"
"POINT (-73.95451671409612 40.681728758331026)","3","H310629","996865.099","187651.865","303","40.68172836","-73.95451355"
"POINT (-73.99819422052607 40.62304439333153)","3","H308672","984751.286","166268.258","311","40.62304306","-73.99819183"
"POINT (-73.9080390826956 40.75650642980794)","4","H436883","1009727.382","214905.763","401","40.75650787","-73.90803528"
"POINT (-73.92968198174557 40.82677466565076)","2","H200771","1003710.759","240501.344","204","40.8267746","-73.92967987"
"POINT (-73.78885690184636 40.85505332489354)","2","H214734","1042659.711","250866.902","210","40.85505295","-73.78885651"
"POINT (-73.93237227100693 40.7547963318518)","4","H438795","1002986.458","214276.578","401","40.75479507","-73.93237305"
"POINT (-73.96099689782008 40.64395914306956)","3","H315251","995073.903","173890.468","314","40.64395905","-73.96099854"
"POINT (-73.7802761106992 40.68124885117402)","4","H409101","1045192.294","187550.178","412","40.68124885","-73.78027611"
"POINT (-73.89103768325914 40.703763543146934)","4","H433544","1014461.448","195695.3","405","40.70376205","-73.89103699"
"POINT (-74.16237195499495 40.63343703654574)","5","H501392","939182.444","170096.339","501","40.63343811","-74.16236877"
"POINT (-73.94307288313449 40.67797413174506)","3","H315755","1000040.012","186285.802","308","40.6779747","-73.94306946"
"POINT (-73.77546413247822 40.73607433173908)","4","H420945","1046475.734","207528.073","408","40.73607254","-73.77546692"
"POINT (-74.03790549016068 40.616718510656035)","3","H300245","973726.405","163965.844","310","40.61671829","-74.03790283"
"POINT (-73.75386693294516 40.69583647828398)","4","H403295","1052502.153","192884.333","412","40.69583511","-73.7538681"
"POINT (-73.89369779042299 40.812951406764306)","2","H209551","1013675.61825","235475.07475","202","40.81295013","-73.89369965"
"POINT (-74.01924332761081 40.63771225528463)","3","H304090","978909.209","171612.734","307","40.63771057","-74.01924133"
"POINT (-73.70254097725008 40.74290297667867)","4","H417285","1066676.447","210076.164","413","40.74290466","-73.70253754"
"POINT (-73.82965419304546 40.827919142330785)","2","H213708","1031392.966","240956.346","210","40.82791901","-73.82965088"
"POINT (-73.99649894862038 40.616726244071465)","3","H308929","985221.987","163966.404","311","40.61672592","-73.99649811"
"POINT (-73.86789814933316 40.84475856091867)","2","H210867","1020799.761","247073.293","211","40.84475708","-73.86789703"
"POINT (-74.2436657345567 40.50969324048028)","5","H500252","916493.388","125065.88425","503","40.50969315","-74.2436676"
"POINT (-74.2506449774872 40.503225427043745)","5","H500074","914545.919","122714.998","503","40.50322723","-74.2506485"
"POINT (-73.84488959644588 40.8396683020268)","2","H213128","1027169.014","245229.16","210","40.83966827","-73.84488678"
"POINT (-73.78821965232773 40.74010994369605)","4","H420932","1042937.243","208989.566","408","40.74010849","-73.78822327"
"POINT (-73.98278929862138 40.642715652522625)","3","H309771","989026.298","173435.49","312","40.64271545","-73.98278809"
"POINT (-73.98378725335422 40.605633445558425)","3","H312963","988751.847","159925.406","311","40.60563278","-73.98378754"
"POINT (-73.8179427587603 40.58523495033788)","4","H409996","1034817.846","152545.847","414","40.5852356","-73.81793976"
"POINT (-73.84132116128558 40.78522436592009)","4","H431825","1028192.33","225395.091","407","40.78522491","-73.84132385"
"POINT (-73.88496160103051 40.81205482627993)","2","H209514","1016094.319","235151.474","202","40.81205368","-73.88496399"
"POINT (-73.78723922761358 40.58964598972997)","4","H416290","1043342.077","154172.114","414","40.58964539","-73.78723907"
"POINT (-73.99560261395013 40.677956779669785)","3","H301389","985469.714","186274.38","306","40.67795563","-73.99560547"
"POINT (-73.94752094828598 40.6517611675329)","3","H315726","998811.963","176734.912","317","40.6517601","-73.9475174"
"POINT (-73.74471953591222 40.5974843939993)","4","H415457","1055143.12325","157059.381","414","40.59748459","-73.74472046"
"POINT (-73.91449030906038 40.85457032118678)","2","H201115","1007905.221","250632.076","205","40.85456848","-73.91448975"
"POINT (-73.86519644596746 40.863302167364374)","2","H208174","1021536.867","253830.569","211","40.86330032","-73.86519623"
"POINT (-73.82582094568183 40.58275630657246)","4","H410241","1032631.4155","151638.36725","414","40.58275604","-73.82582092"
"POINT (-73.98625929188212 40.597459888512766)","3","H313279","988065.895","156947.452","311","40.5974617","-73.98625946"
"POINT (-73.83709808919589 40.86646327615514)","2","H211628","1029306.765","254995.489","212","40.86646271","-73.83709717"
"POINT (-74.13412004997326 40.60872345574658)","5","H507180","947010.18","161079.269","501","40.60872269","-74.13411713"
"POINT (-73.77579018017344 40.7387160204923)","4","H420951","1046382.913","208490.289","408","40.73871613","-73.77578735"
"POINT (-73.87633291492642 40.71668190852805)","4","H433235","1018531.92","200407.26","405","40.71668243","-73.87633514"
"POINT (-73.8478206207267 40.73438103211458)","4","H430133","1026424.642","206868.034","406","40.73438263","-73.8478241"
"POINT (-73.86999470888394 40.8433441098865)","2","H210044","1020220.453","246557.088","211","40.84334564","-73.86999512"
"POINT (-73.93714516129019 40.73392668359715)","4","H439388","1001669.571","206672.116","402","40.73392487","-73.93714142"
"POINT (-74.155601368533 40.563339942883644)","5","H509102","941016.305","144554.804","503","40.56333923","-74.1556015"
"POINT (-73.95009665647235 40.647101440986184)","3","H314989","998098.219","175036.828","317","40.64710236","-73.95009613"
"POINT (-73.79699238260739 40.68995522957672)","4","H403879","1040548.551","190710.969","412","40.68995667","-73.79698944"
"POINT (-73.7647630802674 40.68402205131145)","4","H405015","1049492.242","188571.705","412","40.684021","-73.76476288"
"POINT (-74.07886956130847 40.579011141347955)","5","H515754","962341.298","150235.672","502","40.57901001","-74.07887268"
"POINT (-73.7750335768328 40.76169954324401)","4","H422299","1046571.077","216864.437","411","40.76169968","-73.77503204"
"POINT (-73.9089317181028 40.76949384286205)","4","H438640","1009475.162","219637.244","401","40.7694931","-73.90892792"
"POINT (-73.93065532540324 40.701275151044484)","3","H311788","1003477.579","194777.525","304","40.70127487","-73.93065643"
"POINT (-73.76385475227445 40.72090231406063)","4","H400437","1049707.941","202008.915","408","40.72090149","-73.76385498"
"POINT (-73.81587519555686 40.7516341051842)","4","H426740","1035264.699","213170.859","407","40.75163269","-73.81587219"
"POINT (-73.94005970850513 40.746740048580634)","4","H440232","1000858.64","211339.864","402","40.74673843","-73.94006348"
"POINT (-74.09417500870187 40.60923163239891)","5","H513358","958101.528","161249.958","502","40.60923004","-74.09417725"
"POINT (-73.73291768651497 40.710424829283546)","4","H401495","1058295.11","198216.298","413","40.71042633","-73.73291779"
"POINT (-73.86223518784526 40.75077685934488)","4","H431983","1022420.431","212834.937","403","40.7507782","-73.86223602"
"POINT (-73.95293877889824 40.67687026934604)","3","H310870","997303.701","185882.009","308","40.67686844","-73.95294189"
"POINT (-73.9236475487441 40.83188275800311)","2","H202614","1005379.187","242363.807","204","40.83188248","-73.92364502"
"POINT (-74.10009982223775 40.61436921726093)","5","H510444","956458.594","163123.537","501","40.61436844","-74.10009766"
"POINT (-74.11880811614581 40.6120522438266)","5","H509937","951263.339","162285.894","501","40.61205292","-74.11880493"
"POINT (-73.75006207027225 40.71835355120335)","4","H400616","1053533.823","201090.934","413","40.71835327","-73.75006104"
"POINT (-73.93499211441446 40.71001628748531)","3","H312388","1002272.7305","197961.26025","301","40.71001816","-73.93498993"
"POINT (-73.77803195755466 40.68090080118543)","4","H409091","1045815.049","187424.943","412","40.6809008","-73.77803195"
"POINT (-73.89954928939498 40.816112270261264)","2","H206589","1012054.53925","236624.77825","202","40.81611252","-73.89955139"
"POINT (-74.1586677128286 40.54570724811344)","5","H508913","940152.689","138132.327","503","40.5457077","-74.15866852"
"POINT (-73.83217514038397 40.8385351141266)","2","H212992","1030687.888","244822.783","210","40.83853531","-73.83217621"
"POINT (-73.9101618326779 40.62013891098113)","3","H328152","1009190.237","165222.498","318","40.62014008","-73.91016388"
"POINT (-73.94496292752046 40.60597456524689)","3","H324193","999532.247","160054.069","315","40.6059761","-73.94496155"
"POINT (-73.7970003900936 40.73652525706159)","4","H423700","1040507.011","207677.794","408","40.73652649","-73.79699707"
"POINT (-73.99766221413543 40.610749005207076)","3","H308151","984899.091","161788.729","311","40.61074829","-73.99766541"
"POINT (-73.80720933721315 40.691517269163135)","4","H403776","1037713.91325","191273.66325","412","40.69151688","-73.80721283"
"POINT (-73.89038432436288 40.87175713169531)","2","H204961","1014566.011","256901.321","207","40.87175751","-73.89038086"
"POINT (-73.85138528789065 40.750021081019746)","4","H432027","1025427.072","212564.497","404","40.75002289","-73.85138702"
"POINT (-73.96652339471217 40.686889714289165)","3","H305561","993534.246","189530.65","302","40.68688965","-73.96652222"
"POINT (-73.94407583384715 40.645093795014006)","3","H320162","999769.469","174306.397","317","40.64509201","-73.94407654"
"POINT (-73.99507007086848 40.600012094093806)","3","H313220","985619.025","157877.025","311","40.60001373","-73.99507141"
"POINT (-74.00911060611995 40.62872944014449)","3","H303344","981721.103","168339.598","310","40.62873077","-74.0091095"
"POINT (-74.1270767445745 40.57024038638681)","5","H511709","948945.486","147056.014","503","40.57024002","-74.1270752"
